mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_forest__max_depth,param_random_forest__max_features,param_random_forest__min_samples_leaf,param_random_forest__min_samples_split,param_random_forest__n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.5830273628234863,0.0,0.016726255416870117,0.0,,sqrt,1,2,300,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 2, 'random_forest__n_estimators': 300}",-3.0026328641178774,-3.0026328641178774,0.0,75
0.9594144821166992,0.0,0.024546384811401367,0.0,,sqrt,1,2,500,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 2, 'random_forest__n_estimators': 500}",-2.98556213448589,-2.98556213448589,0.0,43
1.5405800342559814,0.0,0.03698849678039551,0.0,,sqrt,1,2,800,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 2, 'random_forest__n_estimators': 800}",-2.972312818223378,-2.972312818223378,0.0,19
0.5284571647644043,0.0,0.016641855239868164,0.0,,sqrt,1,4,300,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 4, 'random_forest__n_estimators': 300}",-3.005725586002201,-3.005725586002201,0.0,81
0.864412784576416,0.0,0.02359604835510254,0.0,,sqrt,1,4,500,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 4, 'random_forest__n_estimators': 500}",-2.966229428012847,-2.966229428012847,0.0,11
1.3713140487670898,0.0,0.03532719612121582,0.0,,sqrt,1,4,800,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 4, 'random_forest__n_estimators': 800}",-2.9557238575012628,-2.9557238575012628,0.0,8
0.48410701751708984,0.0,0.013549566268920898,0.0,,sqrt,1,8,300,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 8, 'random_forest__n_estimators': 300}",-3.038081526790773,-3.038081526790773,0.0,106
0.7945401668548584,0.0,0.021572113037109375,0.0,,sqrt,1,8,500,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 8, 'random_forest__n_estimators': 500}",-3.0146865502075824,-3.0146865502075824,0.0,96
1.2882516384124756,0.0,0.0344548225402832,0.0,,sqrt,1,8,800,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 1, 'random_forest__min_samples_split': 8, 'random_forest__n_estimators': 800}",-2.9889831063039907,-2.9889831063039907,0.0,49
0.4901154041290283,0.0,0.014069557189941406,0.0,,sqrt,2,2,300,"{'random_forest__max_depth': None, 'random_forest__max_features': 'sqrt', 'random_forest__min_samples_leaf': 2, 'random_forest__min_samples_split': 2, 'random_forest__n_estimators': 300}",-2.979338330795175,-2.979338330795175,0.0,29
